title,author,categories,keywords,checkedAt,comment,color,amazonUrl,imageUrl,ku
"ゾンビですがなにか？","涼木いちか","ブロマンス|友達以上BL未満|関係性小説|SF|短編","","2026-09-21","家族でも、恋人でもない。<br />けれど、ただの同居人と呼ぶには、たぶん少し近すぎる。<br />過去より、今。<br />続柄がわからなくても、今日も二人は同じ家で夜を始める。","#102b47","https://link.amazon/B0bvsdrMr","https://m.media-amazon.com/images/I/81gZ+973iaL.jpg","true"
"友達だから、違うだろ","涼木いちか","ブロマンス|友達以上BL未満|関係性小説","","2026-09-21","どこにでもある夏の、どこにもない物語。","#7f9b8d","https://link.amazon/B03BJC6ET","https://m.media-amazon.com/images/I/51SSoiMR+OL.jpg","true"
"友達だから、違うだろ２","涼木いちか","ブロマンス|友達以上BL未満|関係性小説","","2026-09-21","ことばを選ぶ人たちの、静かで明るい距離感が残る。","#527c91","https://link.amazon/B0iTNGemC","https://m.media-amazon.com/images/I/41Gf0RpEyVL.jpg","true"
"七回死んだ男","西澤保彦","ミステリ|SF","","2026-09-21","幾度も繰り返される殺人。殺されるのはいつも淵上零治郎。<br />それは現実の出来事。だがそれを認識できるのは孫の久太郎だけ。<br />時間の反復落とし穴にはまり込んだ久太郎が、祖父の命を救うべく孤軍奮闘するが…。","#527c91","https://link.amazon/B039bGpfT","https://m.media-amazon.com/images/I/812O7nysBlL.jpg","true"
"殺しのアート（１）　マーメイド・マーダーズ","ジョシュ・ラニヨン","ミステリ|BL|ブロマンス","","2026-09-21","有能だが冷たく、人を寄せつけないFBIの行動分析官・ケネディ。彼のお目付役として殺人事件の捜査に送り込まれた美術犯罪班のジェイソンは事件が起きたキングスフィールドで幼少期を過ごし、連続殺人事件で幼なじみを失っていた。ケネディはその事件を解決に導いた伝説のプロファイラーだった。捜査が進む中、当時の連続殺人事件との共通点が発見される。あの悪夢は本当は終わっていなかったのか――!?　「殺しのアート」シリーズ第1作。","#527c91","https://link.amazon/B0iKaKjYr","https://m.media-amazon.com/images/I/71bLXPNCFML._AC_UY436_QL65_.jpg","true"
